name,kind,lat,lon,province/city
Nhà Khách Drift Backpackers,guest_house,21.0345089,105.84749,Hà Nội
Khách Sạn Little Hanoi 1,hostel,21.0349064,105.8469543,Hà Nội
Nhà Khách Green Hanoi Backpackers,hostel,21.0294153,105.8489147,Hà Nội
Street Backpackers Hostel,hostel,21.0296822,105.8490443,Hà Nội
Khách Sạn Hanoi Light,hostel,21.0284128,105.8500004,Hà Nội
Khách Sạn Rendezvous,hotel,21.0331384,105.8470696,Hà Nội
Khách Sạn Camel City,hotel,21.0353948,105.8525004,Hà Nội
Tượng đài Phụ nữ Ba đảm đang,monument,21.0865459,105.6628766,Hà Nội
Khách Sạn Mercure,hotel,21.0261665,105.8416648,Hà Nội
Khách Sạn Hanoi Rocks,hostel,21.0359034,105.8499502,Hà Nội
Nhà Khách Hanoi Lucky,hotel,21.0352497,105.847496,Hà Nội
Khách Sạn Ga,hostel,21.0343472,105.8526691,Hà Nội
VIET VILLAGE HOTEL,hotel,21.204441,105.8302191,Hà Nội
Khách Sạn Hanoi Imperial,hotel,21.0312566,105.849998,Hà Nội
Khách Sạn Blues,hostel,21.0349105,105.8536082,Hà Nội
Khách Sạn Golden Diamond,hotel,21.0391927,105.8511387,Hà Nội
Khách Sạn Central Backpackers,hostel,21.0304607,105.8488039,Hà Nội
Khách Sạn Le Petit,hotel,21.0302942,105.8489131,Hà Nội
Thanh Chuong Viet Palace,attraction,21.2769005,105.8031488,Hà Nội
Splendid Star Grand Hotel,hotel,21.0291318,105.8487007,Hà Nội
Skyline Hotel,hotel,21.0335223,105.8524153,Hà Nội
Khách Sạn New Amely & Resident,hotel,21.0290827,105.769259,Hà Nội
Symphony Hotel,hostel,21.0322714,105.8487166,Hà Nội
Khách Sạn Hanoi Old Town,hotel,21.036835,105.8497883,Hà Nội
Nhà Khách Hanoi Culture,hostel,21.034931,105.8474364,Hà Nội
Khách Sạn Hanoi Traveller,hostel,21.0318635,105.8483885,Hà Nội
Khách Sạn Central Backpackers - Old Town,hostel,21.0376823,105.8520814,Hà Nội
Khách Sạn Hanoi Alibaba,hotel,21.0327185,105.8537322,Hà Nội
Khách Sạn Và Spa Matilda Boutique,hotel,21.0345574,105.8535202,Hà Nội
Nhà chị Luân,motel,21.1242687,105.6771411,Hà Nội
Nhà Khách Murray's,guest_house,21.0451166,105.8159394,Hà Nội
Nhà Khách Jacks,guest_house,21.0392752,105.8160157,Hà Nội
Khách Sạn Hanoi Serenity Diamond,hotel,21.0344096,105.8467548,Hà Nội
Oasis Hotel,hotel,21.0210013,105.8183853,Hà Nội
Khách Sạn Luxury,hotel,21.0300134,105.8481407,Hà Nội
Khách Sạn Hanoi Pho,hostel,21.0314853,105.8457736,Hà Nội
Khách Sạn La Siesta,hotel,21.0342811,105.8533216,Hà Nội
Khách Sạn Hanoi Party Backpacker,hotel,21.0330335,105.8460897,Hà Nội
Khách Sạn Family Transit,hotel,21.2167372,105.7810839,Hà Nội
Nhà Khách Happy Moon,hostel,21.0382343,105.8470258,Hà Nội
