name,kind,lat,lon
PE81,guest_house,10.9452002,108.1820778
PE6,guest_house,10.9458115,108.1823858
PE5,guest_house,10.9457284,108.1822233
PE4,guest_house,10.9456514,108.1820819
PE3,guest_house,10.9455826,108.1819206
PE2,guest_house,10.9455111,108.181775
PE1,guest_house,10.9454469,108.1816147
PE95,guest_house,10.9453959,108.1813236
PE94,guest_house,10.9453627,108.1811583
PE103,guest_house,10.945101,108.1817239
PE102,guest_house,10.9450421,108.1815779
PE101,guest_house,10.9449824,108.1814055
PE100,guest_house,10.9448894,108.1812605
PE93,guest_house,10.9452989,108.1809875
PE92,guest_house,10.9452296,108.1808208
PE91,guest_house,10.9451231,108.1806612
PE90,guest_house,10.9450075,108.1805374
PE89,guest_house,10.9448615,108.1804386
PE88,guest_house,10.9447087,108.1803342
PE111,guest_house,10.9445526,108.1802558
PE96,guest_house,10.9444261,108.1807071
PE97,guest_house,10.944539,108.1808193
PE98,guest_house,10.9446892,108.180964
PE99,guest_house,10.9447948,108.1811081
PE104,guest_house,10.9441396,108.1812733
PE105,guest_house,10.9442425,108.1814053
PE106,guest_house,10.944358,108.18153
PE107,guest_house,10.9444727,108.181658
PE112,guest_house,10.9445912,108.1817736
Sunny beach,hotel,10.9500168,108.2082731
Villa Area,hotel,10.9490924,108.2068029
Dessole Beach Resort - Mui Ne,hotel,10.9394488,108.1913249
Ocean Star Resort,hotel,10.9438351,108.1955788
1001 Hotel,hotel,10.9450376,108.1957376
